AS: 779, node_degree: 2, IP_prefix: None/None
AS: 781, node_degree: 1, IP_prefix: 152.81.0.0/16
AS: 786, node_degree: 237, IP_prefix: 212.219.0.0/16
AS: 797, node_degree: 1, IP_prefix: 209.184.192.0/20
AS: 803, node_degree: 28, IP_prefix: 216.197.128.0/17
AS: 806, node_degree: 1, IP_prefix: 205.211.134.0/24
AS: 812, node_degree: 158, IP_prefix: 216.254.223.0/24
AS: 818, node_degree: 1, IP_prefix: 142.92.0.0/16
AS: 819, node_degree: 11, IP_prefix: 205.211.145.0/24
AS: 852, node_degree: 426, IP_prefix: 216.232.0.0/16
AS: 855, node_degree: 33, IP_prefix: 209.128.57.0/24
AS: 1101, node_degree: 10, IP_prefix: 192.150.94.0/24
AS: 1103, node_degree: 1270, IP_prefix: 195.169.0.0/16
AS: 1120, node_degree: 16, IP_prefix: 193.171.255.0/24
AS: 1126, node_degree: 67, IP_prefix: 194.13.72.0/21
AS: 1136, node_degree: 209, IP_prefix: 217.166.128.0/17
AS: 1140, node_degree: 47, IP_prefix: 193.176.144.0/24
AS: 1200, node_degree: 437, IP_prefix: 195.69.144.0/22
AS: 1213, node_degree: 26, IP_prefix: 194.26.0.0/24
AS: 1215, node_degree: 1, IP_prefix: 148.87.0.0/18
AS: 1217, node_degree: 2, IP_prefix: 198.17.70.0/24
AS: 1221, node_degree: 321, IP_prefix: 223.255.233.0/24
AS: 1224, node_degree: 2, IP_prefix: 198.17.196.0/25
AS: 1226, node_degree: 3, IP_prefix: 205.225.128.0/17
AS: 1237, node_degree: 122, IP_prefix: 218.234.156.0/24
AS: 1239, node_degree: 451, IP_prefix: 217.151.240.0/20
AS: 1241, node_degree: 98, IP_prefix: 213.16.253.0/24
AS: 1248, node_degree: 499, IP_prefix: 131.228.232.0/24
AS: 1251, node_degree: 51, IP_prefix: 200.144.128.0/20
AS: 1256, node_degree: 1, IP_prefix: 198.102.211.0/24
AS: 1257, node_degree: 174, IP_prefix: 217.78.16.0/20
AS: 1267, node_degree: 1393, IP_prefix: 217.20.0.0/20
AS: 1273, node_degree: 313, IP_prefix: 217.161.96.0/22
AS: 1277, node_degree: 3, IP_prefix: 198.205.102.0/24
AS: 1280, node_degree: 140, IP_prefix: 206.197.161.0/24
AS: 1290, node_degree: 39, IP_prefix: 195.152.0.0/15
AS: 1294, node_degree: 3, IP_prefix: 198.184.142.0/24
AS: 1299, node_degree: 1608, IP_prefix: 217.212.224.0/19
AS: 1321, node_degree: 1, IP_prefix: 152.196.121.0/24
AS: 1339, node_degree: 2, IP_prefix: 206.66.81.0/24
AS: 1351, node_degree: 8, IP_prefix: 207.136.252.128/26
AS: 1403, node_degree: 159, IP_prefix: 198.58.128.0/17
AS: 1408, node_degree: 1, IP_prefix: None/None
AS: 1421, node_degree: 4, IP_prefix: 206.123.142.0/24
AS: 1422, node_degree: 3, IP_prefix: 204.2.197.0/24
AS: 1494, node_degree: 1, IP_prefix: 204.37.178.0/24
AS: 1541, node_degree: 24, IP_prefix: 206.39.41.0/24
AS: 1547, node_degree: 507, IP_prefix: 217.19.223.0/24
AS: 1554, node_degree: 14, IP_prefix: 215.67.239.0/24
AS: 1555, node_degree: 1, IP_prefix: 144.105.249.0/24
AS: 1591, node_degree: 1, IP_prefix: 199.211.149.0/24
AS: 1602, node_degree: 1, IP_prefix: 143.214.0.0/16
AS: 1612, node_degree: 1, IP_prefix: 199.255.239.0/24
AS: 1616, node_degree: 1, IP_prefix: 206.145.122.0/24
AS: 1645, node_degree: 4, IP_prefix: 198.199.7.0/24
AS: 1653, node_degree: 28, IP_prefix: 212.25.128.0/19
AS: 1659, node_degree: 2, IP_prefix: 210.243.0.0/18
AS: 1668, node_degree: 16, IP_prefix: 207.200.64.0/18
AS: 1678, node_degree: 1, IP_prefix: 216.99.87.0/24
AS: 1680, node_degree: 617, IP_prefix: 217.132.0.0/16
AS: 1696, node_degree: 1, IP_prefix: 199.67.207.0/24
AS: 1705, node_degree: 1, IP_prefix: 204.103.30.0/24
AS: 1723, node_degree: 1, IP_prefix: 159.31.0.0/16
AS: 1733, node_degree: 9, IP_prefix: 215.65.67.0/24
AS: 1741, node_degree: 24, IP_prefix: 195.148.0.0/16
AS: 1742, node_degree: 4, IP_prefix: 206.253.200.0/21
AS: 1759, node_degree: 54, IP_prefix: 213.28.0.0/16
AS: 1764, node_degree: 1249, IP_prefix: 217.175.200.0/24
AS: 1766, node_degree: 7, IP_prefix: 192.67.48.0/24
AS: 1767, node_degree: 5, IP_prefix: 216.162.48.0/20
AS: 1785, node_degree: 9, IP_prefix: None/None
AS: 1789, node_degree: 1, IP_prefix: 208.11.152.0/24
AS: 1797, node_degree: 2, IP_prefix: 164.73.0.0/16
AS: 1798, node_degree: 20, IP_prefix: 205.235.192.0/20
AS: 1818, node_degree: 1, IP_prefix: 199.9.63.0/24
AS: 1828, node_degree: 10, IP_prefix: 209.206.60.0/24
AS: 1835, node_degree: 10, IP_prefix: 193.163.46.0/24
AS: 1836, node_degree: 319, IP_prefix: 212.59.128.0/18
AS: 1842, node_degree: 2, IP_prefix: 192.55.108.0/24
AS: 1853, node_degree: 55, IP_prefix: 195.177.250.0/23
AS: 1874, node_degree: 2, IP_prefix: 15.124.128.0/22
AS: 1880, node_degree: 19, IP_prefix: 204.29.132.0/24
AS: 1886, node_degree: 2, IP_prefix: 185.7.52.0/22
AS: 1887, node_degree: 21, IP_prefix: 195.187.64.0/18
AS: 1909, node_degree: 2, IP_prefix: 192.172.226.0/24
AS: 1913, node_degree: 1, IP_prefix: 214.27.160.0/22
AS: 1916, node_degree: 1451, IP_prefix: 200.239.176.0/20
AS: 1930, node_degree: 8, IP_prefix: 194.210.0.0/16
AS: 1936, node_degree: 1, IP_prefix: None/None
AS: 1945, node_degree: 1, IP_prefix: 159.84.0.0/16
AS: 1955, node_degree: 12, IP_prefix: 195.199.0.0/16
AS: 1968, node_degree: 5, IP_prefix: 158.121.242.0/24
AS: 1970, node_degree: 1, IP_prefix: 204.56.128.0/17
AS: 1975, node_degree: 1, IP_prefix: 165.215.0.0/16
AS: 1982, node_degree: 7, IP_prefix: 216.251.96.0/20
AS: 1998, node_degree: 1, IP_prefix: 207.171.64.0/18
AS: 2018, node_degree: 15, IP_prefix: 198.54.251.0/24
AS: 2044, node_degree: 11, IP_prefix: 216.65.128.0/19
AS: 2065, node_degree: 1, IP_prefix: 162.38.0.0/16
AS: 2072, node_degree: 2, IP_prefix: 195.221.162.0/24
AS: 2107, node_degree: 5, IP_prefix: 212.235.128.0/17
AS: 2108, node_degree: 2, IP_prefix: 193.198.0.0/16
AS: 2110, node_degree: 501, IP_prefix: 213.202.128.0/18
AS: 2116, node_degree: 69, IP_prefix: 217.144.224.0/19
AS: 2118, node_degree: 33, IP_prefix: 213.141.192.0/19
AS: 2119, node_degree: 440, IP_prefix: 217.199.32.0/19
AS: 2128, node_degree: 5, IP_prefix: 194.88.240.0/23
AS: 2134, node_degree: 465, IP_prefix: 195.235.227.0/24
AS: 2140, node_degree: 1, IP_prefix: 129.42.0.0/18
AS: 2152, node_degree: 123, IP_prefix: 216.231.241.0/24
AS: 2153, node_degree: 36, IP_prefix: 137.164.28.0/24
AS: 2158, node_degree: 1, IP_prefix: 207.37.83.0/24
AS: 2159, node_degree: 2, IP_prefix: 212.39.229.0/24
AS: 2162, node_degree: 1, IP_prefix: 207.169.253.0/24
AS: 2165, node_degree: 1, IP_prefix: None/None
AS: 2200, node_degree: 61, IP_prefix: 195.221.0.0/16
AS: 2379, node_degree: 3, IP_prefix: 209.40.0.0/18
AS: 2381, node_degree: 102, IP_prefix: 216.56.0.0/16
